,,T-Statistic,P-Value
per,1,1.9460437715523644,0.05618543622258225
per,2,0.24730675738788033,0.8054624774867692
per,3,-1.085960036407151,0.28292047465830455
per,4,-1.41972726556165,0.16343415766912275
per,5,-0.21689809463241486,0.8296646959443688
ts_pct,1,0.9589121549276937,0.34132759708143157
ts_pct,2,1.6052346033192326,0.11336578299985471
ts_pct,3,-0.8760062318061391,0.38538955585226864
ts_pct,4,-0.9298232646618245,0.35804038699199714
ts_pct,5,-0.570517662175169,0.5723113363626986
fg3a_per_fga_pct,1,-4.065230300719841,0.00013757613967430856
fg3a_per_fga_pct,2,-3.02415605744719,0.0035856696901503927
fg3a_per_fga_pct,3,-1.7992987997269925,0.07825939982991029
fg3a_per_fga_pct,4,-1.7073279761113105,0.09551331021101288
fg3a_per_fga_pct,5,-1.362693104838784,0.18249299571387104
fta_per_fga_pct,1,0.6238061649073491,0.5350433541035102
fta_per_fga_pct,2,1.871216073528687,0.06588750358908854
fta_per_fga_pct,3,1.472201458715001,0.14749341029608493
fta_per_fga_pct,4,1.378977708315992,0.17556429047210226
fta_per_fga_pct,5,0.0006558821500563201,0.9994807536325343
trb_pct,1,0.5226082445831047,0.6031094383419361
trb_pct,2,1.389509744864022,0.1694930318419102
trb_pct,3,-1.2710776411770084,0.20982646497674312
trb_pct,4,-0.784334573249837,0.4374642381746813
trb_pct,5,0.04516541973371953,0.964256136402313
ast_pct,1,0.13200014199438745,0.8954116209764724
ast_pct,2,-1.3600256396953845,0.17859350634133306
ast_pct,3,-2.458233185663896,0.01762220470441059
ast_pct,4,-0.9213282391838239,0.3624027831458849
ast_pct,5,0.9082900396514759,0.37051504753210485
stl_pct,1,-0.6153283850534147,0.540590020721422
stl_pct,2,0.6613883040938666,0.510737483635406
stl_pct,3,0.5060502707575011,0.615137742386046
stl_pct,4,-0.012868157407934419,0.989796948401449
stl_pct,5,2.659372143896409,0.012126549234106084
blk_pct,1,1.3060918358383382,0.19634636209717132
blk_pct,2,-1.3401416077375257,0.18493786566244613
blk_pct,3,1.161562285553033,0.2511569508346562
blk_pct,4,1.1315576018960778,0.26455896236295506
blk_pct,5,0.8267132031945279,0.4145217657137944
tov_pct,1,0.15153852638319418,0.8800429358533715
tov_pct,2,2.9999791127301116,0.0038442225372734267
tov_pct,3,2.4343956774483564,0.018685880661087076
tov_pct,4,2.2628634910290186,0.02914393777395121
tov_pct,5,1.1012156497179768,0.2790173730780093
usg_pct,1,1.9749776748368066,0.052727660429417705
usg_pct,2,1.3197511495230727,0.19161957510845895
usg_pct,3,-0.2856110895867758,0.7764049295067009
usg_pct,4,-0.3203236463863931,0.7503903902847167
usg_pct,5,0.4282741669146402,0.671320487266041
ws_per_48,1,1.5804098441075158,0.11910169718272459
ws_per_48,2,-0.05204821847492117,0.958652388537637
ws_per_48,3,-1.1539200017092512,0.25424621101134
ws_per_48,4,-1.0395575111729742,0.3047887263368504
ws_per_48,5,-0.1272154247084665,0.8995659539591963
bpm,1,1.2567199070269064,0.21356926275697957
bpm,2,-0.7998901424488248,0.426733507172124
bpm,3,-1.9317595969474683,0.05930415704229918
bpm,4,-1.9527452511609178,0.05787190379148284
bpm,5,-0.21282206266519876,0.832815740805791
vorp,1,3.0717645130361357,0.003158704519195896
vorp,2,0.226179422255805,0.821782674747424
vorp,3,-1.283674540688176,0.20541830663588662
vorp,4,-2.094740929993638,0.042573179398977576
vorp,5,-1.6736835822666265,0.10394192902543102
gs,1,1.3823472955893126,0.17182475336286568
gs,2,0.013041343933876707,0.9896353769131956
gs,3,-0.10785659329910248,0.9145590347849946
gs,4,-1.5809498922614962,0.12176563178146181
gs,5,-0.705709034784447,0.4854752514609846
mp_per_g,1,1.8126510563274014,0.07472764333839656
mp_per_g,2,1.3784019544983852,0.17287884331347042
mp_per_g,3,0.23735700196378237,0.8133900307489667
mp_per_g,4,-0.38592308167061273,0.7015986855902858
mp_per_g,5,0.12649673358994812,0.9001302243036962
fga_per_g,1,1.8417820437404748,0.07029112710412892
fga_per_g,2,0.9704353013765226,0.33548291381023054
fga_per_g,3,-0.9552535584798668,0.34423586467466794
fga_per_g,4,-1.5230125449533578,0.1356230980068087
fga_per_g,5,-0.6004507654483301,0.5524350684753951
fg_pct_x,1,1.7240971401972476,0.08967351465221912
fg_pct_x,2,1.5655462807346212,0.12238642749654863
fg_pct_x,3,-0.6255455578172009,0.5345761231700363
fg_pct_x,4,-0.6082885713396486,0.5464348854044194
fg_pct_x,5,-0.2660216966007776,0.791929054271484
fg3a_per_g,1,-0.7292386941516602,0.468601652570523
fg3a_per_g,2,-0.8540064854922473,0.39628670740778993
fg3a_per_g,3,-2.377611546863682,0.02145660347870419
fg3a_per_g,4,-2.7128833959607688,0.009788460797321787
fg3a_per_g,5,-1.8348917568086307,0.07583287840279017
fg3_pct,1,-0.7224397099029893,0.4727404686018115
fg3_pct,2,-0.32902985273815905,0.7432074330295814
fg3_pct,3,-0.8079082497593325,0.4231292979850626
fg3_pct,4,0.3159828949016806,0.7536584471406159
fg3_pct,5,-1.4819561679774929,0.1481333776003706
fg2a_per_g,1,2.334664239319174,0.022814471881104796
fg2a_per_g,2,1.628789554848412,0.10827062595210307
fg2a_per_g,3,-0.09534496193383281,0.9244377701753386
fg2a_per_g,4,-0.5610338514710741,0.5779040706136755
fg2a_per_g,5,0.011329351151462086,0.9910310181634818
fg2_pct,1,0.8156598361596773,0.41781729739248274
fg2_pct,2,0.5426735207251815,0.589239487073931
fg2_pct,3,-0.812699939513468,0.4204027969652415
fg2_pct,4,-1.4177166961809853,0.16401687447089405
fg2_pct,5,-1.218198567067495,0.23205439183965548
efg_pct,1,0.886158675556755,0.3789563470646483
efg_pct,2,1.1675029380002258,0.24733863962868421
efg_pct,3,-1.4687672564762937,0.14841951961670027
efg_pct,4,-1.1107205340873965,0.2733209636074633
efg_pct,5,-0.48158257272677407,0.6333796756490764
fta_per_g,1,2.1354949495701128,0.03667832973520542
fta_per_g,2,2.3403396615823566,0.022395795690600073
fta_per_g,3,0.6119757646723987,0.5434418859993946
fta_per_g,4,-0.10935415865984462,0.9134683671495991
fta_per_g,5,-0.5367666552020555,0.5951414001682868
ft_pct,1,0.33064695359852264,0.7420259862721802
ft_pct,2,0.9312150760177565,0.3552418516004503
ft_pct,3,0.0013727379386616588,0.9989104033184371
ft_pct,4,-1.928095919982415,0.0609631915959286
ft_pct,5,-1.9626147101623101,0.058434769121295096
orb_per_g,1,3.3013778491694583,0.0015990464420603803
orb_per_g,2,3.826439435757637,0.00029777624569612114
orb_per_g,3,1.528456300636545,0.13296300752254728
orb_per_g,4,1.60866366400012,0.11555535884738273
orb_per_g,5,1.1929758109176334,0.24164945345617667
drb_per_g,1,0.33788298412064305,0.7365927721504921
drb_per_g,2,0.25855869481848487,0.7968054896949499
drb_per_g,3,-1.5347268375616128,0.13141668350070296
drb_per_g,4,-1.7434023256755116,0.08894607386872488
drb_per_g,5,-1.1830450491240545,0.24550645947054378
trb_per_g,1,1.351596210795848,0.18141538733225623
trb_per_g,2,1.3206546654633462,0.19131970504069554
trb_per_g,3,-0.6875968138183346,0.4950159987577327
trb_per_g,4,-0.7919771423860289,0.4330458308292714
trb_per_g,5,-0.4059549877099758,0.6874775734383936
pf_per_g,1,1.7819423818082587,0.07965568766930167
pf_per_g,2,2.9636382362285594,0.004265631338830636
pf_per_g,3,2.481907070290924,0.01662030644445169
pf_per_g,4,2.38608693672772,0.02185104197525625
pf_per_g,5,2.431257454608782,0.020825946999737804
pts_per_g,1,2.2459235063773537,0.028282271220234672
pts_per_g,2,1.191871930917786,0.23771237821789895
pts_per_g,3,-0.8152962999048557,0.4189299080397728
pts_per_g,4,-1.5592949947473609,0.12680442388675028
pts_per_g,5,-1.1214510419602484,0.27044118944865364
age,1,-13.957882018891649,8.460083400246555e-21
age,2,-21.522641922733534,5.227111624849146e-31
age,3,-24.81712423252166,4.9450167687546213e-29
age,4,-28.102557824163156,5.896819241775084e-28
age,5,-32.432179693018305,4.731612909016158e-26
g,1,2.8381133378911803,0.006126322438691459
g,2,1.732979801989398,0.08791546685474048
g,3,1.2387981663927923,0.22144410675998294
g,4,-1.6343740869540515,0.11002744805185102
g,5,-0.0026771275260526217,0.9978805839837935
mp_y,1,2.8077210968205883,0.006661976986773478
mp_y,2,1.365567148626049,0.17685525600222374
mp_y,3,1.0022529607229205,0.3212473922484863
mp_y,4,-1.2664324519843444,0.2126837567039448
mp_y,5,-0.41554934389047493,0.6805132331320523
avg_dist,1,-4.946009953491079,6.091942143214995e-06
avg_dist,2,-3.7025393058104554,0.0004466033656266187
avg_dist,3,-2.6938240185650857,0.009702901370673495
avg_dist,4,-1.6125927424567605,0.11469619011316233
avg_dist,5,-1.4953189548873973,0.14462882846005876
pct_fga_fg2a,1,4.065406217751922,0.000137494336713318
pct_fga_fg2a,2,3.024270928798702,0.003584480814953915
pct_fga_fg2a,3,1.7992987997269925,0.07825939982991029
pct_fga_fg2a,4,1.706292840056544,0.09570755056711361
pct_fga_fg2a,5,1.362693104838784,0.18249299571387104
pct_fga_00_03,1,3.491482466419187,0.0008911776685208284
pct_fga_00_03,2,3.5986182477874613,0.0006239464924314542
pct_fga_00_03,3,2.5113196890396563,0.015447525889747436
pct_fga_00_03,4,1.3307351755241166,0.19081260426412003
pct_fga_00_03,5,0.6877669187379418,0.49655494878195217
pct_fga_03_10,1,1.9992028940714894,0.04997429781100822
pct_fga_03_10,2,0.1046080795272651,0.9170139510788602
pct_fga_03_10,3,0.8438521544496969,0.4029380129047262
pct_fga_03_10,4,0.5198818875264467,0.6060113030171907
pct_fga_03_10,5,0.7227712682389194,0.47507017764938586
pct_fga_10_16,1,-1.4265382198669923,0.15872949144485518
pct_fga_10_16,2,-2.0553212661748823,0.04393355070744742
pct_fga_10_16,3,-0.5789151400952413,0.5653533278531939
pct_fga_10_16,4,0.3887534104343405,0.699520272046702
pct_fga_10_16,5,-0.2340105054798051,0.8164675407269937
pct_fga_16_xx,1,-0.8425378586283866,0.40272548056481305
pct_fga_16_xx,2,0.727641229568903,0.46948691520087116
pct_fga_16_xx,3,-1.2018015534658102,0.23533636089610876
pct_fga_16_xx,4,0.03993337121487233,0.9683449006351516
pct_fga_16_xx,5,0.3749065931800051,0.7102032823679667
pct_fga_fg3a,1,-4.065230300719841,0.00013757613967430856
pct_fga_fg3a,2,-3.02415605744719,0.0035856696901503927
pct_fga_fg3a,3,-1.7992987997269925,0.07825939982991029
pct_fga_fg3a,4,-1.7073279761113105,0.09551331021101288
pct_fga_fg3a,5,-1.362693104838784,0.18249299571387104
fg_pct_fg2a,1,0.8156598361596773,0.41781729739248274
fg_pct_fg2a,2,0.5426735207251815,0.589239487073931
fg_pct_fg2a,3,-0.812699939513468,0.4204027969652415
fg_pct_fg2a,4,-1.4177166961809853,0.16401687447089405
fg_pct_fg2a,5,-1.218198567067495,0.23205439183965548
fg_pct_00_03,1,1.8142692531934388,0.0744751941330683
fg_pct_00_03,2,0.10907862366022873,0.9134814171709368
fg_pct_00_03,3,-1.125219101357627,0.26609128526247744
fg_pct_00_03,4,-1.1437660770068279,0.2595195898879305
fg_pct_00_03,5,-0.29885163342770177,0.7669854965112444
fg_pct_03_10,1,-0.8814752904975777,0.3814651634715699
fg_pct_03_10,2,-0.6062128379504157,0.5465176620056458
fg_pct_03_10,3,-1.6692629562634689,0.10157566525256452
fg_pct_03_10,4,-2.4177115476363156,0.020266823233414402
fg_pct_03_10,5,-1.2946997687611819,0.20468839270755146
fg_pct_10_16,1,-1.2212932134700136,0.22659884535592248
fg_pct_10_16,2,-0.5835047438261434,0.5616043417900429
fg_pct_10_16,3,-1.727333653391198,0.09053816241726105
fg_pct_10_16,4,-1.045535886882332,0.3020527071016163
fg_pct_10_16,5,-1.4443869455688887,0.15835107843547316
fg_pct_16_xx,1,-0.4301055645036077,0.6686101723150348
fg_pct_16_xx,2,0.16725952452685316,0.8676932219114991
fg_pct_16_xx,3,0.41198903566931444,0.6821815737040193
fg_pct_16_xx,4,-0.28600632052787484,0.7763493049789426
fg_pct_16_xx,5,0.3788805354061794,0.707278928234111
fg_pct_fg3a,1,-0.7224397099029893,0.4727404686018115
fg_pct_fg3a,2,-0.32902985273815905,0.7432074330295814
fg_pct_fg3a,3,-0.8079082497593325,0.4231292979850626
fg_pct_fg3a,4,0.3159828949016806,0.7536584471406159
fg_pct_fg3a,5,-1.4819561679774929,0.1481333776003706
pct_fga_dunk,1,5.067220715507513,3.8930288992450955e-06
pct_fga_dunk,2,2.151170317723778,0.035243843019566665
pct_fga_dunk,3,1.6588031268212773,0.1036767783174615
pct_fga_dunk,4,0.8962776558767047,0.3754670180415268
pct_fga_dunk,5,1.3320681627804147,0.19224772244908422
fg_dunk,1,2.371342775923108,0.020844102237479487
fg_dunk,2,1.3927724204468939,0.16850825459340701
fg_dunk,3,-0.1678306823396041,0.867421621023688
fg_dunk,4,-1.704253982101835,0.09609109633591546
fg_dunk,5,-0.2860391297937861,0.7766917749345443
pct_fg3a_corner3,1,-0.5935695592404963,0.5549594467982699
pct_fg3a_corner3,2,-0.6154097419004563,0.5404664572216902
pct_fg3a_corner3,3,-1.5411838223501069,0.12983944246608703
pct_fg3a_corner3,4,-2.3468341993332213,0.02397246521885237
pct_fg3a_corner3,5,-1.6565536808975456,0.10738438871930094
fg_pct_corner3,1,1.0299105869707634,0.30705310619238513
fg_pct_corner3,2,0.2767715631809696,0.7828474411722529
fg_pct_corner3,3,0.6840836981890244,0.49721188182277876
fg_pct_corner3,4,0.13115426453348764,0.8963107162896993
fg_pct_corner3,5,-0.2292928140358685,0.8201005799520928
cluster,1,-1.9617413561582908,0.054286206411426265
cluster,2,-1.8789608252694976,0.06480508789373185
cluster,3,0.37349000203228017,0.7104283292723577
cluster,4,-0.18144364703647176,0.856935683273328
cluster,5,-0.9906817896166612,0.32927332009993493
