cluster,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,season,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct_x,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,age,g,mp_y,avg_dist,pct_fga_fg2a,pct_fga_00_03,pct_fga_03_10,pct_fga_10_16,pct_fga_16_xx,pct_fga_fg3a,fg_pct_fg2a,fg_pct_00_03,fg_pct_03_10,fg_pct_10_16,fg_pct_16_xx,fg_pct_fg3a,pct_ast_fg2,pct_ast_fg3,pct_fga_dunk,fg_dunk,pct_fg3a_corner3,fg_pct_corner3,fg3a_heave,fg3_heave
0,18.79416846652268,0.6463606911447084,0.028490280777537798,0.4886328293736501,12.096760259179266,21.949676025917928,17.078833693304535,6.581425485961122,1.2946004319654427,4.532613390928725,14.861771058315334,15.722030237580993,1.5807775377969762,1.1645788336933047,2.74341252699784,0.17704103671706264,-0.05637149028077754,1.0220302375809935,0.9688984881209504,0.46414686825053997,2016.2829373650109,15.842332613390928,15.457019438444926,2.3133909287257017,3.7879049676025915,0.6317991360691145,0.035205183585313174,0.1244060475161987,0.19267567567567567,2.2764578833693303,3.6615550755939523,0.6424578833693305,0.6356738660907127,1.0336933045356371,1.648596112311015,0.6201820224719101,1.638876889848812,3.040388768898488,4.678617710583153,0.6861771058315335,0.3989200863930885,0.8246220302375811,0.7628509719222462,1.9347732181425485,5.694168466522679,25.94816414686825,47.76457883369331,844.2419006479481,3.9930885529157667,0.9715161987041037,0.6456911447084233,0.2384989200863931,0.05534557235421166,0.03153131749460043,0.028490280777537798,0.6424578833693305,0.733609649122807,0.4420431818181818,0.3676725888324873,0.29156069364161846,0.19267567567567567,0.687915766738661,0.9452695035460992,0.2646155507559395,47.79697624190065,0.21965637065637064,0.25974647887323943,0.2591792656587473,0.0064794816414686825
1,12.765762974438418,0.5179860573199071,0.012670023237800154,0.41350193648334627,10.880402788536019,19.142370255615802,15.000232378001549,6.101471727343145,1.3570100697134004,2.9792408985282726,15.629202168861347,15.935398915569325,0.589155693261038,1.0376452362509683,1.6260263361735088,0.08867389620449263,-2.617893106119287,0.054221533694810226,-2.5649883810999228,-0.04887683965917893,2008.460883036406,14.473276529821844,15.6708752904725,1.9140975987606506,3.9804027885360185,0.4818605731990705,0.007513555383423703,0.05213013168086754,0.0625126404494382,1.9053446940356313,3.924786986831913,0.4863106119287374,0.48271804802478696,0.9716498838109993,1.4975213013168087,0.6426066978193146,1.4326878388845856,2.587064291247095,4.019442292796282,0.6349341595662278,0.4130131680867545,0.5903175832687839,0.82858249419055,2.0665375677769173,4.804802478698683,26.62354763749032,51.809450038729665,871.3516653756777,6.281564678543765,0.9873346243222307,0.49637645236250966,0.23355383423702558,0.12345313710302093,0.13381487219209914,0.012670023237800154,0.4863106119287374,0.6111270333075136,0.3527282693813626,0.33609659090909094,0.33225211505922164,0.0625126404494382,0.6515166537567777,0.8728950276243094,0.10871185127807902,19.578621223857475,0.21399859550561795,0.12127777777777776,0.273431448489543,0.0023237800154918666
2,25.50294117647059,0.5885126050420169,0.2531134453781513,0.40259243697478997,4.2521008403361344,17.74033613445378,11.077310924369748,28.28319327731092,1.995378151260504,1.5260504201680671,12.199579831932773,30.591596638655464,7.779831932773109,3.429831932773109,11.205042016806724,0.2159873949579832,6.5096638655462185,1.1277310924369748,7.636134453781513,5.684873949579832,2013.0966386554621,71.0672268907563,36.471008403361346,8.922268907563025,18.70294117647059,0.4807857142857143,1.715546218487395,4.718067226890756,0.3532478991596638,7.208823529411765,13.986974789915967,0.5183375527426161,0.5281302521008404,6.131932773109244,7.525210084033613,0.8177299578059072,1.357563025210084,5.8088235294117645,7.163865546218488,5.792436974789916,1.449579831932773,0.6873949579831933,3.070168067226891,2.399579831932773,25.685714285714283,26.73109243697479,71.38235294117646,2625.331932773109,13.12436974789916,0.7468865546218487,0.27119747899159663,0.14850840336134452,0.13622268907563026,0.1906218487394958,0.2531134453781513,0.5183375527426161,0.6701097046413502,0.4199324894514768,0.42100421940928273,0.4140126582278481,0.3532478991596638,0.3799029535864979,0.6613193277310925,0.04878991596638656,59.214285714285715,0.11384033613445378,0.3765627705627706,2.3949579831932772,0.09663865546218488
3,7.178228228228228,0.4179862385321101,0.06324042879019907,0.3602879019908116,6.792192192192193,13.972822822822822,10.371921921921922,11.56906906906907,1.9897897897897898,1.546096096096096,19.669347496206374,16.594144144144146,-0.1962518740629685,0.21649175412293853,0.022938530734632683,-0.008647147147147148,-5.5952023988006,-0.09910044977511244,-5.696251874062969,-0.17181409295352326,2007.8200899550225,1.7391304347826086,8.970914542728636,0.8544227886056971,2.298950524737631,0.37115926493108725,0.022938530734632683,0.1727136431784108,0.09096428571428572,0.8299850074962519,2.124737631184408,0.3886294027565084,0.37516232771822355,0.4517241379310345,0.7098950524737632,0.6324867549668874,0.4745127436281859,1.038230884557721,1.5092953523238382,0.7455772113943029,0.3247376311844078,0.16386806596701647,0.6265367316341829,1.1614692653673164,2.181409295352324,26.57271364317841,23.460269865067467,228.40179910044978,9.446401225114855,0.9367656967840735,0.36917151607963244,0.19771209800918835,0.14467840735068913,0.2251883614088821,0.06324042879019907,0.3886294027565084,0.5312223974763407,0.29949411764705886,0.2911675392670157,0.2908545780969479,0.09096428571428572,0.5595341614906832,0.7072986111111111,0.04428177641653905,1.9415292353823088,0.17953571428571427,0.08378021978021978,0.17691154422788605,0.0
4,16.761152614727855,0.545495197438634,0.07898185699039488,0.3268409818569904,8.726467449306297,20.038633938100322,14.363607257203842,10.077374599786554,1.412273212379936,2.4606189967982925,12.666915688367128,20.38879402347919,2.503415154749199,2.3998932764140872,4.9046958377801495,0.11713553895410886,0.08441835645677696,0.08260405549626466,0.16360725720384206,1.110779082177161,2010.0725720384205,54.10458911419423,29.17758804695838,4.984951974386339,10.2,0.4928271077908218,0.28772678762006404,0.8725720384204909,0.23174074074074075,4.697225186766276,9.327321237993598,0.5078847385272145,0.5058004268943437,2.373105656350053,3.244717182497332,0.7284759871931696,2.214087513340448,5.106083244397011,7.3176093916755605,1.7962646744930628,0.8018143009605122,0.9025613660618997,1.6586979722518678,2.708964781216649,12.633191035218783,26.46958377801494,68.83778014941302,2010.1088580576306,8.705869797225187,0.9210192102454643,0.38911739594450373,0.2244087513340448,0.135982924226254,0.17135859124866595,0.07898185699039488,0.5078847385272145,0.6471088580576307,0.4026616862326574,0.38005976520811097,0.38117344753747323,0.23174074074074075,0.6364012806830309,0.9160810372771474,0.08419530416221986,49.72892209178229,0.23830824372759857,0.3037224025974026,0.7481323372465315,0.0192102454642476
5,13.86618962432916,0.5068837209302326,0.18934525939177102,0.28116457960644003,2.8440071556350626,10.740966010733452,6.767262969588551,25.123076923076923,2.075313059033989,0.6813953488372093,15.974418604651165,19.922182468694096,1.1813953488372093,1.5016100178890877,2.683720930232558,0.07044364937388194,-0.7268336314847943,-0.07495527728085867,-0.8025044722719141,0.5647584973166369,2008.7906976744187,36.03577817531306,27.11252236135957,3.8690518783542043,9.010554561717353,0.43101967799642216,0.5477638640429338,1.716994633273703,0.2973989266547406,3.320572450805009,7.294991055456172,0.4564937388193202,0.46133631484794274,1.9327370304114493,2.498389982110912,0.7707584973166368,0.6756708407871198,2.5483005366726297,3.2212880143112703,4.243470483005367,1.0838998211091233,0.23828264758497314,1.8962432915921288,2.129695885509839,10.22057245080501,26.558139534883722,66.25760286225403,1787.0536672629696,12.442754919499105,0.8106565295169946,0.2879660107334526,0.14389087656529517,0.13303577817531306,0.24572271914132382,0.18934525939177102,0.4564937388193202,0.5773184257602862,0.36637745974955277,0.3782854578096948,0.3872665474060823,0.2973989266547406,0.3680983899821109,0.8072408759124088,0.018973166368515204,10.057245080500895,0.24702146690518784,0.3300183823529412,1.778175313059034,0.06440071556350627
6,21.611146496815284,0.5806942675159236,0.02990764331210191,0.44874840764331214,10.560509554140127,25.124522292993632,17.898407643312105,11.317834394904459,1.3519108280254777,4.194585987261147,12.982802547770701,22.49394904458599,4.844267515923566,3.9130573248407643,8.756050955414013,0.17619745222929936,2.0156050955414013,1.048407643312102,3.0640127388535032,3.0799363057324842,2011.031847133758,69.09872611464968,33.46114649681528,6.58312101910828,12.371656050955414,0.5408503184713376,0.12324840764331212,0.42165605095541403,0.1642247191011236,6.456050955414013,11.951592356687899,0.5484808917197452,0.5452292993630573,3.6863057324840764,5.347770700636943,0.6882484076433122,3.0684713375796178,7.438535031847133,10.50923566878981,2.228343949044586,0.8901273885350318,1.7882165605095541,2.151910828025478,2.8923566878980895,16.971974522292992,25.90764331210191,71.10191082802548,2386.891719745223,6.415605095541402,0.970095541401274,0.4731369426751592,0.26451592356687903,0.12274522292993631,0.10954140127388536,0.02990764331210191,0.5484808917197452,0.6893789808917198,0.417140127388535,0.3665878594249201,0.35278260869565214,0.1642247191011236,0.6264458598726115,0.9000248447204968,0.1602643312101911,112.85350318471338,0.17462172284644195,0.25110738255033555,0.8375796178343949,0.009554140127388535
7,18.543408788282292,0.5510625832223702,0.2784340878828229,0.3112596537949401,2.836884154460719,11.841411451398136,7.354593874833555,25.38894806924101,1.866844207723036,0.7973368841544607,13.034354194407456,25.07057256990679,4.278029294274301,2.2794940079893475,6.557789613848202,0.1281930758988016,2.491478029294274,-0.2191744340878828,2.271238348868176,2.6086551264980025,2010.4314247669774,66.84420772303595,35.04713715046605,6.726364846870839,15.020372836218375,0.4484380825565912,1.5162450066577897,4.165645805592543,0.3536604527296937,5.214114513981358,10.855392809587217,0.4809294274300932,0.49919573901464714,3.795872170439414,4.630892143808256,0.8201464713715046,0.8768308921438083,3.6680426098535284,4.545272969374167,5.224234354194407,1.2744340878828229,0.35392809587217045,2.5249001331557923,2.3169107856191746,18.762450066577898,26.916111850865512,70.4074567243675,2474.6138482023966,13.986817576564581,0.721565912117177,0.24157390146471372,0.13245805592543275,0.1329467376830892,0.21445938748335552,0.2784340878828229,0.4809294274300932,0.6147749667110519,0.39112383488681757,0.4117736351531292,0.41089347536617843,0.3536604527296937,0.3586085219707057,0.7383954727030625,0.020533954727030623,20.134487350199734,0.19057656458055924,0.3852383488681758,2.1757656458055927,0.06391478029294274
8,10.46492027334852,0.48666970387243735,0.17887357630979497,0.2562801822323463,5.16753986332574,13.167881548974943,9.151025056947608,9.43257403189066,1.5383826879271072,1.211389521640091,12.981207289293849,17.585535307517084,0.16423690205011388,0.7195899772209566,0.8841685649202733,0.04953189066059225,-2.7162870159453303,-0.31264236902050113,-3.027220956719818,-0.15216400911161732,2006.9612756264237,10.486332574031891,15.22004555808656,1.9284738041002278,4.5872437357630975,0.4189236902050114,0.2741457858769932,0.8293849658314352,0.34071147161066045,1.6545558086560366,3.7607061503416856,0.4355865603644647,0.4489362186788155,0.8276765375854215,1.117881548974943,0.7326823394495413,0.6533029612756265,1.7159453302961274,2.366742596810934,0.9224373576309794,0.4547835990888383,0.23348519362186787,0.7429384965831435,1.5751708428246014,4.955466970387243,26.751708428246015,50.258542141230066,818.134396355353,13.025626423690206,0.8211287015945331,0.26537927107061504,0.1167141230068337,0.12837471526195898,0.3106104783599089,0.17887357630979497,0.4355865603644647,0.577888,0.33480581395348835,0.34744890929965555,0.37178677309007985,0.34071147161066045,0.6478688711516534,0.9298141486810552,0.03767767653758543,7.939635535307517,0.3857937427578215,0.3673734335839599,0.40660592255125283,0.004555808656036446
9,0.13401898734177214,0.2778148760330579,0.35746688741721855,0.20809271523178807,4.4659810126582276,12.01645569620253,8.26629746835443,8.5251582278481,1.3145569620253164,0.9626582278481012,14.611861614497528,17.222943037974684,-0.1668769716088328,0.06056782334384858,-0.1,-0.1304493670886076,-8.611829652996844,-2.31608832807571,-10.928864353312303,-0.11072555205047319,2013.2917981072555,0.3028391167192429,6.756782334384859,0.4854889589905363,2.002839116719243,0.2127549668874172,0.14637223974763405,0.7583596214511041,0.16728920570264766,0.3417981072555205,1.2481072555205046,0.2499204152249135,0.24278145695364237,0.24495268138801263,0.37839116719242905,0.6268891687657431,0.2547318611987382,0.7233438485804417,0.9788643533123029,0.4405362776025237,0.18454258675078863,0.08406940063091484,0.3747634069400631,0.6917981072555205,1.354416403785489,25.386435331230285,10.850157728706625,82.22555205047318,14.876324503311258,0.6425463576158941,0.21813576158940395,0.15112086092715232,0.0968294701986755,0.17631622516556292,0.35746688741721855,0.2499204152249135,0.42318376068376073,0.17270681818181818,0.18645169712793733,0.18612903225806451,0.16728920570264766,0.5474336283185841,0.8827585139318886,0.02072847682119205,0.4416403785488959,0.2813890020366599,0.20784573002754822,0.09305993690851735,0.0
10,13.047032374100718,0.559748201438849,0.47641007194244606,0.20581294964028776,3.5841726618705034,13.535521582733812,8.580305755395683,11.058093525179856,1.7047661870503596,1.326888489208633,11.37248201438849,16.524280575539567,1.9527877697841727,1.8646582733812949,3.8191546762589925,0.10353956834532374,-0.2609712230215827,0.44226618705035975,0.18165467625899281,0.9666366906474821,2013.8228417266187,35.7113309352518,25.400449640287768,3.356294964028777,7.626708633093525,0.4403120503597122,1.3703237410071942,3.6284172661870504,0.3743345323741007,1.985611510791367,3.997482014388489,0.49850765076507647,0.5299613309352518,1.20863309352518,1.5433453237410073,0.7808543165467625,0.7902877697841726,3.054406474820144,3.843255395683453,1.8808453237410072,0.8491906474820143,0.3966726618705036,1.0557553956834533,2.0616007194244603,9.293165467625899,27.554856115107913,69.94064748201438,1785.013489208633,16.156654676258995,0.5235926258992806,0.22115647482014386,0.10434442446043166,0.06756744604316547,0.13041456834532375,0.47641007194244606,0.49850765076507647,0.6361927927927927,0.37418091809180914,0.37000090252707585,0.37716998191681733,0.3743345323741007,0.6054176417641765,0.9344221422142215,0.03647841726618705,16.46312949640288,0.32050359712230214,0.4043911870503597,1.0692446043165467,0.03327338129496403
11,10.007048458149779,0.5374416299559471,0.6175616740088106,0.147886563876652,2.6516519823788545,11.830616740088107,7.252643171806167,8.646035242290749,1.3008810572687226,0.962885462555066,10.230176211453745,15.495264317180618,0.3830396475770925,0.5371145374449339,0.920704845814978,0.06541740088105727,-1.6388766519823788,-0.38259911894273124,-2.020484581497797,0.015418502202643172,2015.988986784141,6.224669603524229,14.321696035242292,1.6856828193832598,4.181277533039648,0.40427312775330393,0.9251101321585903,2.562995594713656,0.36312004405286347,0.7613436123348017,1.6204845814977975,0.4721977653631285,0.5166916299559472,0.46784140969162996,0.6030837004405286,0.7668333333333334,0.3327092511013216,1.513546255506608,1.8438325991189428,0.8450440528634361,0.3761013215859031,0.16674008810572688,0.5016519823788547,1.2378854625550662,4.760022026431718,27.31057268722467,42.65748898678414,664.2852422907489,19.025991189427312,0.38244493392070483,0.13654295154185023,0.0758942731277533,0.05480616740088106,0.11509361233480175,0.6175616740088106,0.4721977653631285,0.6293348837209302,0.3518757396449704,0.357542413381123,0.3891430260047281,0.36312004405286347,0.6492272215973004,0.9367907488986784,0.017595814977973568,3.05726872246696,0.3131376651982379,0.3988512304250559,0.43061674008810574,0.007709251101321586
12,10.756589861751152,0.4919364055299539,0.37614746543778804,0.21327465437788018,2.1521658986175116,9.652903225806451,5.889216589861752,20.23447004608295,1.776036866359447,0.59963133640553,15.56930875576037,18.918709677419354,0.10728110599078342,0.5083870967741936,0.6175115207373272,0.03724976958525345,-2.1734562211981565,-0.5328110599078342,-2.705345622119816,-0.09170506912442396,2012.6912442396313,6.072811059907834,15.56857142857143,1.9923502304147465,5.046451612903225,0.39400092165898615,0.632258064516129,1.9012903225806452,0.3320774907749077,1.3611981566820277,3.146820276497696,0.42985332103321033,0.4563308755760369,0.8079262672811061,1.0408294930875575,0.7752999062792877,0.29861751152073734,1.3350230414746544,1.6290322580645162,2.049953917050691,0.5346543778801843,0.11336405529953918,0.9920737327188941,1.3133640552995391,5.42073732718894,26.491244239631335,43.694930875576034,719.6562211981567,15.459539170506911,0.6238571428571429,0.2090414746543779,0.13378525345622122,0.09727649769585253,0.18361935483870967,0.37614746543778804,0.42985332103321033,0.5468591417910448,0.3487593632958802,0.37101136363636367,0.36389971883786315,0.3320774907749077,0.3472303422756707,0.7726583333333333,0.010411059907834102,2.0119815668202765,0.20754335793357934,0.3639137931034483,0.9917050691244239,0.022119815668202765
13,14.303190319031904,0.5424455445544555,0.40028932893289326,0.23274807480748075,2.595049504950495,11.650935093509352,7.094389438943894,16.235643564356437,1.4508250825082507,0.8737073707370737,11.493949394939493,22.316391639163914,1.6046204620462046,1.2467546754675467,2.8513751375137515,0.07594939493949394,0.2623762376237624,-0.8798679867986798,-0.6173817381738175,0.6311331133113312,2015.6743674367438,39.12981298129813,29.05005500550055,5.088228822882288,11.8002200220022,0.43104620462046206,1.7210121012101212,4.713091309130913,0.36367656765676565,3.368866886688669,7.087678767876787,0.4757634763476348,0.5041507150715072,2.205060506050605,2.723762376237624,0.8054977973568282,0.6805280528052805,3.015731573157316,3.6933993399339937,2.932343234323432,0.838943894389439,0.30649064906490653,1.6796479647964797,2.093839383938394,14.099449944994499,26.264026402640265,61.47964796479648,1792.9295929592959,15.488338833883388,0.5997117711771177,0.20664466446644664,0.1397018701870187,0.10175687568756876,0.1514191419141914,0.40028932893289326,0.4757634763476348,0.6154290429042903,0.38700990099009897,0.3951546961325967,0.3911433296582139,0.36367656765676565,0.43651925192519253,0.82565859030837,0.022391639163916392,14.652365236523652,0.21525412541254124,0.3918011049723757,1.737073707370737,0.0407040704070407
14,12.385180412371133,0.5576929032258064,0.2855974193548387,0.2922051612903226,6.486469072164948,15.967654639175258,11.225515463917526,8.795360824742268,1.524355670103093,2.0445876288659792,13.638451612903225,16.234149484536083,0.2891752577319588,0.46249999999999997,0.755541237113402,0.08189690721649484,-2.3094072164948454,0.10734536082474226,-2.2027061855670103,0.0009020618556701027,2018.006443298969,4.869845360824742,12.040592783505154,1.6329896907216495,3.4318298969072165,0.4915832258064516,0.31559278350515463,1.0588917525773196,0.27818679775280897,1.3195876288659794,2.3716494845360825,0.5738283870967742,0.5326554838709677,0.645618556701031,0.9322164948453608,0.6732727272727272,0.6945876288659794,1.7322164948453609,2.4277061855670103,0.7462628865979382,0.3805412371134021,0.29329896907216496,0.5842783505154638,1.3029639175257732,4.220876288659794,24.632731958762886,32.41881443298969,451.4871134020619,10.798967741935485,0.7144116129032257,0.3956541935483871,0.18639096774193548,0.06416516129032258,0.06808129032258065,0.2855974193548387,0.5738283870967742,0.7004289473684211,0.395804979253112,0.35543100775193803,0.34356065573770495,0.27818679775280897,0.6345587096774193,0.9583470031545741,0.09926967741935483,11.27319587628866,0.341310393258427,0.30265940902021776,0.31443298969072164,0.001288659793814433
